,9566,This would enable live traffic aware apps.,0
0,9569,Please try other formatting like bold italics shadow to distinguish titles/subtitles from content.,0.7840689
1,9576,Since computers were invented to save time I suggest we be allowed to upload them all in one zip file - using numbering for the file names and the portal could place them in the right order.,0.041069783
2,9577,Allow rearranging if the user wants to change them!,0.091034286
3,9579,Add SIMD instructions for better use of ARM NEON instructions for math and games.,0.67635524
4,9580,Also using a hot swapping code generator (optimized machine code like HotSpot in Java does) would also be very helpful to mitigate slow C# code.,0.7587148
5,9587,Microsoft should seriously look into getting rid of Symantec for all these payment stuff.,0.30370724
6,9599,I would be extremely useful in a variety of app types to be notified upon call started and ended events at least be able to check whether or not the device is being used for a phonecall.,0.47068352
7,9626,I would like to see informatin about the certification process in the dev center app.,0.59978545
8,9628,It would be nice to see at a glance if an app is featured in one of the markets .,0.7554935
9,9630,Also I would be fun to have a record showing the featured markets and dates.,0.6496187
10,9636,Make ProgressRing control available for Windows Phone just like Win8.,0.056844342
11,9657,It would be great if the OS moved on to the second third etc NFC record and tried to trigger off of them until there was a success.,0.059993625
12,9660,We need for our applications on each of the mobile platforms to be able to read data on a separate NDEF records contained in an NDEF message.,0.040330958
13,9670,Provide Process Class/APIs (like that for regular Windows) to develop lower level operations like Task Manager in Windows,0.57697725
14,9686,Please add the possibility the set price (& market distribution) and trial mode existence individually for the XAPs.,0.17943874
15,9702,Add the ability to do memory profiling on background agent (periodic) as they are limited on memory and sometimes its too hard to catch memory leaks.,0.8018552
16,9706,Either one has to use .NET to access a library or Microsoft advises to do a .NET app with native code in a WinRT component.,0.44439942
17,9709,Don't limit us artifically just because you don't like native developers.,0.060662705
18,9735,These page templates should be updated to use the medium-sized semibold font by default for the title text.,0.6174433
19,9750,Task-based operations would make the code much more clean and readable.,0.13579257
20,9754,Add a boolean to CameraCaptureTask to indicate whether you want it to save the picture taken to be saved to the camera roll.,0.09082426
21,9755,Please expose ETW logging namespaces like System.Diagnostics.Eventing so that it is possible to log events from the windows 8 app.,0.7298295
22,9756,Currently the only way to take advantage of the direct manipulation in a XAML Windows store app is by using a ScrollViewer.,0.6979735
23,9794,Instead of having a top charts style listing where the most popular apps are displayed to every phone anywhere create a new form of distribution where the results are randomized every time a user looks at the marketplace.,0.09070119
24,9796,Highly rated apps should appear near the top more and they should appear less and less frequently and the rating of the app dwindles.,0.063185826
25,9799,It seems to me that all good apps/games should have a chance at decent exposure in the top charts and waiting to be featured just isn't worth it.,0.64291054
26,9819,Maybe you should think about some way to reward those users who take their time to actually try an app and review it.,0.14936772
27,9829,It would be great to be able to use the WP8 emulator (and Surface emulator for that matter) for mobility demonstrations i.e. when I deliver a Dynamics CRM demo I often (nearly always) want to include mobility scenarios on the same screen as the rest of the demo.,0.041159935
28,9873,It will even allow seamless migration to new hardware.,0.08094192
29,9926,I would like to ask Microsoft to give us a tool(option in emulator) with which we can take screenshots once in one emulator and it will produce screenshots in all resolutions and all languages supported by our app.,0.08626486
30,9929,You have to run one emulator take screenshots close it and run another and so on.,0.0649779
31,9978,SharpDX proves that those key technologies can be made available to CSharp: I would suggest to either support the project or to provide your own interface.,0.7238592
32,9980,It would be more natural to allow the physical search key to activate the search function on the active application rather than loading Bing which is rarely the goal.,0.3415102
33,9994,Associate bound objects to data templates implicitly by type instead of explicitly by template name.,0.05753664
34,10007,For more information see Data Binding.,0.34267905
35,10027,On WP8 add optional support to hook these hardware keys press events for the lens (plug-in) features...hardware keys should include vol+ vol- stage 1 (light press) camera shutter stage 2 (deep press) camera shutter.,0.44810677
36,10028,"When an application has problems or when a problem is detected in advance by the developer until the publication of the correction version the client is without knowing what is happening, it would be possible for Microsoft to implement a communications resource developer for customers who have installed its application?",0.12674315
37,10168,Read/write accsess to email sync settings could enable applications to create custom sync profiles (based on week-days time position etc).,0.038743652
38,10203,It s impossible to connect easily to ftp network I suggest to include it in the future sdk.,0.040390678
39,10204,I hope Microsoft can open Asia voice function fastest,0.08163864
40,10212,We need support special multitasking tasks like VOIP and IM!,0.0846454
41,10260,Please add the possibility to add your own spell check service or provide the data if a system wide one existed.,0.6973355
42,10267,If Microsoft created some incentives like a free device (Blackberry did this) and a free year of membership (Amazon did this) it could drive a lot of developers to the platform which is crucial to the platform taking off.,0.040395454
43,10297,I would be a really nice gesture to have an option wich can put everything to the other side so when left handed people scroll they could also see the content.,0.77512544
